Name,Gender,City,Frequency,Item,Spends
Nitish,M,Kolkata,Weekly,Burger,11
Anu,F,Gurgaon,Daily,Sandwich,14
Mukku,M,Kolkata,Once,Vada,25
Suri,M,Kolkata,Monthly,Pizza,56
Rajiv,M,Patna,Never,Paneer,34
Vandanda,F,Patna,Once,Chicken,23
Piyush,M,Ranchi,Never,Chicken,67
Radhika,F,Mumbai,Monthly,Pizza,43
Sunil,M,Mumbai,Monthly,Vada,34
Madhuri,F,Pune,Daily,Paneer,66
Sonal,F,Pune,Monthly,Pizza,89
Abhay,M,Patna,Daily,Burger,65
Vineet,M,Ranchi,Once,Sandwich,34
Sumit,M,Gurgaon,Never,Sandwich,34
Ranbir,M,Mumbai,Weekly,Vada,55
Akash,M,Chennai,Monthly,Paneer,67
Pooja,F,Chennai,Daily,Pizza,34
Neha,F,Pune,Never,Pizza,88
Aditya,M,Gurgaon,Once,Sandwich,99
Gaurav,M,Patna,Monthly,Vada,65
Jagriti,F,Patna,Weekly,Burger,45
Dipti,F,Patna,Weekly,Burger,76
Vinay,M,Patna,Monthly,Burger,48
Ankit,M,Mumbai,Daily,Paneer,38
Anjani,F,Pune,Never,Pizza,27
Sphira,F,Pune,Once,Vada,84
Sam,M,Ranchi,Never,Vada,85
Vinish,M,Ranchi,Once,Sandwich,74
Ritika,F,Kolkata,Monthly,Burger,63
Chandu,M,Kolkata,Daily,Sandwich,54
Bijurika,F,Ranchi,Weekly,Pizza,90
Deepanita,F,Pune,Never,Paneer,42
Sourav,M,Gurgaon,Once,Sandwich,97
Suti,M,Kolkata,Monthly,Vada,86
Manu,M,Kolkata,Daily,Vada,56
Nishu,F,Patna,Weekly,Sandwich,66
Komal,F,Pune,Daily,Paneer,77
Sachin,M,Mumbai,Daily,Pizza,99
Rahul,M,Mumbai,Weekly,Burger,21
Amit,M,Chennai,Monthly,Sandwich,43
Rohit,M,Chennai,Once,Pizza,54
Vidit,M,Pune,Once,Paneer,78
Sunaina,F,Chennai,Once,Vada,23
Akriti,F,Gurgaon,Monthly,Vada,86
Sangeeta,F,Chennai,Weekly,Sandwich,43
Meenal,F,Pune,Monthly,Pizza,67
Akshay,M,Ranchi,Daily,Paneer,32
Gurpreet,M,Kolkata,Never,Pizza,56
Kishore,M,Gurgaon,Never,Vada,22
Jaideep,M,Chennai,Once,Burger,44
